Split,Digit Class,Filename, Black Counter, White Counter
1x1,0,116177-19-3.bmp,0,0
1x1,1,116177-19-3.bmp,0,0
1x1,2,116177-19-3.bmp,0,0
1x1,3,116177-19-3.bmp,0,0
1x1,4,116177-19-3.bmp,0,0
1x1,5,116177-19-3.bmp,0,0
1x1,6,116177-19-3.bmp,0,0
1x1,7,116177-19-3.bmp,0,0
1x1,8,116177-19-3.bmp,0,0
1x1,9,116177-19-3.bmp,249,141
2x2,0,116177-19-3.bmp,0,0
2x2,1,116177-19-3.bmp,0,0
2x2,2,116177-19-3.bmp,0,0
2x2,3,116177-19-3.bmp,0,0
2x2,4,116177-19-3.bmp,0,0
2x2,5,116177-19-3.bmp,0,0
2x2,6,116177-19-3.bmp,0,0
2x2,7,116177-19-3.bmp,0,0
2x2,8,116177-19-3.bmp,0,0
2x2,9,116177-19-3.bmp,229,135
3x3,0,116177-19-3.bmp,0,0
3x3,1,116177-19-3.bmp,0,0
3x3,2,116177-19-3.bmp,0,0
3x3,3,116177-19-3.bmp,0,0
3x3,4,116177-19-3.bmp,0,0
3x3,5,116177-19-3.bmp,0,0
3x3,6,116177-19-3.bmp,0,0
3x3,7,116177-19-3.bmp,0,0
3x3,8,116177-19-3.bmp,0,0
3x3,9,116177-19-3.bmp,227,133
5x5,0,116177-19-3.bmp,0,0
5x5,1,116177-19-3.bmp,0,0
5x5,2,116177-19-3.bmp,0,0
5x5,3,116177-19-3.bmp,0,0
5x5,4,116177-19-3.bmp,0,0
5x5,5,116177-19-3.bmp,0,0
5x5,6,116177-19-3.bmp,0,0
5x5,7,116177-19-3.bmp,0,0
5x5,8,116177-19-3.bmp,0,0
5x5,9,116177-19-3.bmp,239,136
1x1,0,126154-10-5.bmp,0,0
1x1,1,126154-10-5.bmp,0,0
1x1,2,126154-10-5.bmp,0,0
1x1,3,126154-10-5.bmp,0,0
1x1,4,126154-10-5.bmp,0,0
1x1,5,126154-10-5.bmp,0,0
1x1,6,126154-10-5.bmp,0,0
1x1,7,126154-10-5.bmp,0,0
1x1,8,126154-10-5.bmp,0,0
1x1,9,126154-10-5.bmp,168,120
2x2,0,126154-10-5.bmp,0,0
2x2,1,126154-10-5.bmp,0,0
2x2,2,126154-10-5.bmp,0,0
2x2,3,126154-10-5.bmp,0,0
2x2,4,126154-10-5.bmp,0,0
2x2,5,126154-10-5.bmp,0,0
2x2,6,126154-10-5.bmp,0,0
2x2,7,126154-10-5.bmp,0,0
2x2,8,126154-10-5.bmp,0,0
2x2,9,126154-10-5.bmp,168,120
3x3,0,126154-10-5.bmp,0,0
3x3,1,126154-10-5.bmp,0,0
3x3,2,126154-10-5.bmp,0,0
3x3,3,126154-10-5.bmp,0,0
3x3,4,126154-10-5.bmp,0,0
3x3,5,126154-10-5.bmp,0,0
3x3,6,126154-10-5.bmp,0,0
3x3,7,126154-10-5.bmp,0,0
3x3,8,126154-10-5.bmp,0,0
3x3,9,126154-10-5.bmp,168,120
5x5,0,126154-10-5.bmp,0,0
5x5,1,126154-10-5.bmp,0,0
5x5,2,126154-10-5.bmp,0,0
5x5,3,126154-10-5.bmp,0,0
5x5,4,126154-10-5.bmp,0,0
5x5,5,126154-10-5.bmp,0,0
5x5,6,126154-10-5.bmp,0,0
5x5,7,126154-10-5.bmp,0,0
5x5,8,126154-10-5.bmp,0,0
5x5,9,126154-10-5.bmp,102,98
1x1,0,116174-6-3.bmp,0,0
1x1,1,116174-6-3.bmp,0,0
1x1,2,116174-6-3.bmp,0,0
1x1,3,116174-6-3.bmp,0,0
1x1,4,116174-6-3.bmp,0,0
1x1,5,116174-6-3.bmp,0,0
1x1,6,116174-6-3.bmp,0,0
1x1,7,116174-6-3.bmp,0,0
1x1,8,116174-6-3.bmp,0,0
1x1,9,116174-6-3.bmp,240,138
2x2,0,116174-6-3.bmp,0,0
2x2,1,116174-6-3.bmp,0,0
2x2,2,116174-6-3.bmp,0,0
2x2,3,116174-6-3.bmp,0,0
2x2,4,116174-6-3.bmp,0,0
2x2,5,116174-6-3.bmp,0,0
2x2,6,116174-6-3.bmp,0,0
2x2,7,116174-6-3.bmp,0,0
2x2,8,116174-6-3.bmp,0,0
2x2,9,116174-6-3.bmp,229,135
3x3,0,116174-6-3.bmp,0,0
3x3,1,116174-6-3.bmp,0,0
3x3,2,116174-6-3.bmp,0,0
3x3,3,116174-6-3.bmp,0,0
3x3,4,116174-6-3.bmp,0,0
3x3,5,116174-6-3.bmp,0,0
3x3,6,116174-6-3.bmp,0,0
3x3,7,116174-6-3.bmp,0,0
3x3,8,116174-6-3.bmp,0,0
3x3,9,116174-6-3.bmp,194,130
5x5,0,116174-6-3.bmp,0,0
5x5,1,116174-6-3.bmp,0,0
5x5,2,116174-6-3.bmp,0,0
5x5,3,116174-6-3.bmp,0,0
5x5,4,116174-6-3.bmp,0,0
5x5,5,116174-6-3.bmp,0,0
5x5,6,116174-6-3.bmp,0,0
5x5,7,116174-6-3.bmp,0,0
5x5,8,116174-6-3.bmp,0,0
5x5,9,116174-6-3.bmp,136,114
1x1,0,116176-14-3.bmp,0,0
1x1,1,116176-14-3.bmp,0,0
1x1,2,116176-14-3.bmp,0,0
1x1,3,116176-14-3.bmp,0,0
1x1,4,116176-14-3.bmp,0,0
1x1,5,116176-14-3.bmp,0,0
1x1,6,116176-14-3.bmp,0,0
1x1,7,116176-14-3.bmp,0,0
1x1,8,116176-14-3.bmp,0,0
1x1,9,116176-14-3.bmp,194,118
2x2,0,116176-14-3.bmp,0,0
2x2,1,116176-14-3.bmp,0,0
2x2,2,116176-14-3.bmp,0,0
2x2,3,116176-14-3.bmp,0,0
2x2,4,116176-14-3.bmp,0,0
2x2,5,116176-14-3.bmp,0,0
2x2,6,116176-14-3.bmp,0,0
2x2,7,116176-14-3.bmp,0,0
2x2,8,116176-14-3.bmp,0,0
2x2,9,116176-14-3.bmp,178,110
